entry_ts,exit_ts,side,entry_price,exit_price,qty,reason,pnl_usd
2023-10-02 14:00:00+00:00,2023-10-02 14:00:00+00:00,long,28553.25504,28404.8072352,1.4422379577251312,SL,-234.58030441176385
2023-10-16 13:25:00+00:00,2023-10-16 13:25:00+00:00,long,27999.29965,28553.574357,1.4439650966318613,TP,779.7381484760571
2023-10-17 04:00:00+00:00,2023-10-17 04:00:00+00:00,long,28267.72649,28120.763142450003,1.5092875058542212,SL,-243.03110250871597
2023-10-17 17:15:00+00:00,2023-10-17 17:15:00+00:00,long,28546.95441,28398.53936205,1.4672847173857597,SL,-238.60150308811455
2023-10-20 10:20:00+00:00,2023-10-20 10:20:00+00:00,long,29427.34244,30009.886711200004,1.397444120052588,TP,793.1044965947603
2023-10-23 18:40:00+00:00,2023-10-23 18:40:00+00:00,long,30880.18771,30719.642228549998,1.4052854689120873,SL,-247.1971655981609
2023-10-23 19:05:00+00:00,2023-10-23 19:05:00+00:00,long,31343.534040000002,31180.5796302,1.3592766073219194,SL,-242.6916335481251
2023-10-23 22:25:00+00:00,2023-10-23 22:25:00+00:00,long,31453.745059999997,32076.4040388,1.329825820095123,TP,806.6999719690045
2023-10-24 02:35:00+00:00,2023-10-24 02:35:00+00:00,long,34733.57301,34552.993855049994,1.270798389458852,SL,-251.4346437512981
2023-10-24 13:50:00+00:00,2023-10-24 13:50:00+00:00,long,34353.03496,34174.4342148,1.2614566298127874,SL,-246.85187742722155
2023-10-25 01:50:00+00:00,2023-10-25 01:50:00+00:00,long,34359.93565,34181.299028249996,1.2382159992160258,SL,-242.35263876213904
2023-11-09 14:10:00+00:00,2023-11-09 14:10:00+00:00,long,37253.725,37991.2005,1.121218788978549,TP,805.5731631031248
2023-11-10 00:20:00+00:00,2023-11-10 00:20:00+00:00,long,36803.68,36612.3384,1.1976442085439252,SL,-251.0834366165332
2023-11-28 19:55:00+00:00,2023-11-28 19:55:00+00:00,long,38319.23154,38120.010617700005,1.1293110866789224,SL,-246.50707155922845
2023-12-03 22:40:00+00:00,2023-12-03 22:40:00+00:00,long,40117.611359999995,39909.0406968,1.0590260282502115,SL,-242.01411748840508
2023-12-04 05:20:00+00:00,2023-12-04 05:20:00+00:00,long,40677.96739,41483.2292622,1.0254010911983005,TP,804.4479281783263
2023-12-04 20:45:00+00:00,2023-12-04 20:45:00+00:00,long,41975.09709,41756.86939545,1.0486252311525934,SL,-250.732720052403
2023-12-04 22:30:00+00:00,2023-12-04 22:30:00+00:00,long,42346.33421,42126.176461049996,1.0204870781385598,SL,-246.16274732049635
2023-12-05 23:10:00+00:00,2023-12-05 23:10:00+00:00,long,44340.833640000004,44110.3065282,0.9568212123056256,SL,-241.67606906553482
2023-12-06 10:50:00+00:00,2023-12-06 10:50:00+00:00,long,44277.027259999995,44046.8318763,0.9407354545479627,SL,-237.27116712313324
2024-01-02 10:05:00+00:00,2024-01-02 10:05:00+00:00,long,45859.685509999996,45621.26191754999,0.8917152889081801,SL,-232.94655099966218
2024-01-02 14:30:00+00:00,2024-01-02 14:30:00+00:00,long,45824.582,45586.34091,0.8761331059352467,SL,-228.7007573679521
2024-01-11 14:05:00+00:00,2024-01-11 14:05:00+00:00,long,46773.77691,47699.7115518,0.8427087075401786,TP,760.1947041220267
2024-01-19 14:50:00+00:00,2024-01-19 14:50:00+00:00,short,40934.806110000005,41147.70885945,1.0159195508627636,SL,-237.19344655045046
2024-01-19 17:15:00+00:00,2024-01-19 17:15:00+00:00,short,40451.25447,40661.64225765,1.009307669045893,SL,-232.8660612320645
2024-01-22 15:50:00+00:00,2024-01-22 15:50:00+00:00,short,40615.13808,40826.37822959999,0.9868954469297648,SL,-228.61762524370957
2024-01-22 18:50:00+00:00,2024-01-22 18:50:00+00:00,short,40288.370760000005,40497.911386199994,0.9767487993816044,SL,-224.4466982244753
2024-01-22 19:50:00+00:00,2024-01-22 19:50:00+00:00,short,39540.345570000005,39745.995702149994,0.9770699177973377,SL,-220.35186609153797
2024-01-23 11:35:00+00:00,2024-01-23 11:35:00+00:00,short,39516.048,38733.47296,0.9598339571870025,TP,732.5532461255837
2024-01-23 14:25:00+00:00,2024-01-23 14:25:00+00:00,short,38625.037110000005,38825.926704449994,1.0363077552340128,SL,-228.30124914832382
2024-02-09 02:40:00+00:00,2024-02-09 02:40:00+00:00,long,45031.30268,45922.7432664,0.872837743808641,TP,758.0414383617539
2024-02-09 11:35:00+00:00,2024-02-09 11:35:00+00:00,long,46004.6,46915.308,0.9015831013963819,TP,799.9299186616918
2024-02-09 14:20:00+00:00,2024-02-09 14:20:00+00:00,long,46991.29866,46746.9918333,0.9314264529691834,SL,-249.32453342447116
2024-02-09 18:55:00+00:00,2024-02-09 18:55:00+00:00,long,47775.27705,47526.89433525,0.899443979812041,SL,-244.7802269657588
2024-02-14 21:15:00+00:00,2024-02-14 21:15:00+00:00,long,51806.08009,51536.74131045,0.814344034061094,SL,-240.3187471783978
2024-02-15 01:05:00+00:00,2024-02-15 01:05:00+00:00,long,52392.43872,52120.0514736,0.7905536637516876,SL,-235.93858442444534
